actorid;name;date_of_birth;birth_city;birth_country;height_inches;biography;gender;ethnicity;networth
2169;Aaron Eckhart;1968-03-12;Cupertino;USA;61;Aaron Eckhart was born on March 12, 1968 in Cupertino, California, USA as Aaron Edward Eckhart. He is an actor and producer, known for The Dark Knight (2008), Thank You for Smoking (2005) and In the Company of Men (1997).;Male;White;16000000
1909;Aaron Michael Drozin;1998-05-30;California;USA;;Aaron Michael Drozin was born on May 30, 1998 in California, USA. He is an actor, known for Fun with Dick and Jane (2005), The Nutcracker in 3D (2010) and The Ant Bully (2006).;Male;White;15000000
2575;Aaron Taylor-Johnson;1990-06-13;High Wycombe;UK;61;Aaron Taylor-Johnson is an English stage, television, and film actor. He was born Aaron Perry Johnson in High Wycombe, Buckinghamshire, to Sarah and Robert Johnson, a civil engineer. He has a sister, Gemma Johnson, who had a small role in his movie Tom Thomas (2002). Aaron is of English-Russian Jewish descent. He began performing at age six, ...;Male;White;16000000
2204;Aasif Mandvi;1966-03-05;Bombay;India;68;Aasif Mandvi was born on March 5, 1966 in Bombay, Maharashtra, India as Aasif Mandviwala. He is an actor and producer, known for Million Dollar Arm (2014), Evil (2019) and The Proposal (2009). He has been married to Shaifali Puri since August 26, 2017.;Male;Indian;3000000
5;Abe Vigoda;1921-02-24;Brooklyn;USA;73;Abraham Charles Vigoda was an American actor known for his portrayals of Salvatore Tessio in The Godfather and Phil Fish in both Barney Miller and Fish.;Male;White;10000000
1618;Abigail Breslin;1996-04-14;New York City;USA;61;Academy Award-nominated actress Abigail Breslin is one of the most sought-after actors of her generation. Her unique and charismatic talents have contributed to her versatile roles in both comedy and drama. Recently, Breslin headlined the first season of the horror-comedy series, Scream Queens (2015), opposite Emma Roberts, Lea Michele and Jamie ...;Female;White;8000000
1062;Abraham Benrubi;1969-10-04;Indianapolis;USA;79;Abraham Benrubi was born on October 4, 1969 in Indianapolis, Indiana, USA as Abraham Rubin Hercules Benrubi. He is an actor, known for ER (1994), Parker Lewis Cant Lose (1990) and The Program (1993).;Male;White;12000000
1874;Adam Arkin;1956-08-19;Brooklyn;USA;73;Adam Arkin was born on August 19, 1956 in Brooklyn, New York City, New York, USA. He is an actor and director, known for Halloween H20: 20 Years Later (1998), Northern Exposure (1990) and Chicago Hope (1994). He has been married to Michelle Dunker since September 2, 2017. He was previously married to Phyllis Lyons and Linda Sublette.;Male;White;10000000
2187;Adam Ferrara;1966-02-02;Queens;USA;61;Adam Ferrara is a stand-up comedian and actor who proudly played Chief Needles Nelson on the Emmy nominated FX drama series Rescue Me (2004) with Denis Leary and Frank Verelli on Showtimes hit series Nurse Jackie (2009) opposite Emmy Award winner Edie Falco. Ferrara has also costarred alongside Kevin James in the hit movie Paul Blart: Mall Cop (...;Male;White;2000000
1185;Adam Goldberg;1970-10-25;Santa Monica;USA;61;An actor with a talent for mining the neuroses of his characters for both comedic and dramatic effect and a filmmaker adept at exploring the philosophical questions at the heart of the human experience, Adam Goldberg has solidified his position as a versatile and unique talent. Goldberg was born in Santa Monica, California, to Donna (Goebel) and ...;Male;White;6000000
